Product,Version,Type,Grouping,Subfolder,URL part,,New Grouping,New Subfolder,Noun,Apply Pattern,Renamed Command,,New URL,Old URL
IRT,v1,Query,data-transfer,GenericScreenFailedNotification,CountryName,,data-transfer-generic,,,,,,GET  /api/irt/v1/data-transfer-generic/generic-screen-failed-notification/queries/country-name,GET /api/IRT/v1/data-transfer/GenericScreenFailedNotification/Queries/CountryName
IRT,v1,Query,data-transfer,GenericScreenFailedNotification,DepotCountryName,,data-transfer-generic,,,,,,GET  /api/irt/v1/data-transfer-generic/generic-screen-failed-notification/queries/depot-country-name,GET /api/IRT/v1/data-transfer/GenericScreenFailedNotification/Queries/DepotCountryName
IRT,v1,Query,data-transfer,GenericScreenFailedNotification,DepotName,,data-transfer-generic,,,,,,GET  /api/irt/v1/data-transfer-generic/generic-screen-failed-notification/queries/depot-name,GET /api/IRT/v1/data-transfer/GenericScreenFailedNotification/Queries/DepotName
IRT,v1,Query,data-transfer,GenericScreenFailedNotification,PILastName,,data-transfer-generic,,,,,,GET  /api/irt/v1/data-transfer-generic/generic-screen-failed-notification/queries/p-i-last-name,GET /api/IRT/v1/data-transfer/GenericScreenFailedNotification/Queries/PILastName
IRT,v1,Query,data-transfer,GenericScreenFailedNotification,SiteCountryName,,data-transfer-generic,,,,,,GET  /api/irt/v1/data-transfer-generic/generic-screen-failed-notification/queries/site-country-name,GET /api/IRT/v1/data-transfer/GenericScreenFailedNotification/Queries/SiteCountryName
IRT,v1,Query,data-transfer,GenericScreenFailedNotification,SiteName,,data-transfer-generic,,,,,,GET  /api/irt/v1/data-transfer-generic/generic-screen-failed-notification/queries/site-name,GET /api/IRT/v1/data-transfer/GenericScreenFailedNotification/Queries/SiteName
IRT,v1,Query,data-transfer,GenericScreeningNotification,CountryName,,data-transfer-generic,,,,,,GET  /api/irt/v1/data-transfer-generic/generic-screening-notification/queries/country-name,GET /api/IRT/v1/data-transfer/GenericScreeningNotification/Queries/CountryName
IRT,v1,Query,data-transfer,GenericScreeningNotification,DepotCountryName,,data-transfer-generic,,,,,,GET  /api/irt/v1/data-transfer-generic/generic-screening-notification/queries/depot-country-name,GET /api/IRT/v1/data-transfer/GenericScreeningNotification/Queries/DepotCountryName
IRT,v1,Query,data-transfer,GenericScreeningNotification,DepotName,,data-transfer-generic,,,,,,GET  /api/irt/v1/data-transfer-generic/generic-screening-notification/queries/depot-name,GET /api/IRT/v1/data-transfer/GenericScreeningNotification/Queries/DepotName
IRT,v1,Query,data-transfer,GenericScreeningNotification,PILastName,,data-transfer-generic,,,,,,GET  /api/irt/v1/data-transfer-generic/generic-screening-notification/queries/p-i-last-name,GET /api/IRT/v1/data-transfer/GenericScreeningNotification/Queries/PILastName
IRT,v1,Query,data-transfer,GenericScreeningNotification,SiteCountryName,,data-transfer-generic,,,,,,GET  /api/irt/v1/data-transfer-generic/generic-screening-notification/queries/site-country-name,GET /api/IRT/v1/data-transfer/GenericScreeningNotification/Queries/SiteCountryName
IRT,v1,Query,data-transfer,GenericScreeningNotification,SiteName,,data-transfer-generic,,,,,,GET  /api/irt/v1/data-transfer-generic/generic-screening-notification/queries/site-name,GET /api/IRT/v1/data-transfer/GenericScreeningNotification/Queries/SiteName
IRT,v1,Query,data-transfer,GenericSubjectNotification,CountryName,,data-transfer-generic,,,,,,GET  /api/irt/v1/data-transfer-generic/generic-subject-notification/queries/country-name,GET /api/IRT/v1/data-transfer/GenericSubjectNotification/Queries/CountryName
IRT,v1,Query,data-transfer,GenericSubjectNotification,DepotCountryName,,data-transfer-generic,,,,,,GET  /api/irt/v1/data-transfer-generic/generic-subject-notification/queries/depot-country-name,GET /api/IRT/v1/data-transfer/GenericSubjectNotification/Queries/DepotCountryName
IRT,v1,Query,data-transfer,GenericSubjectNotification,DepotName,,data-transfer-generic,,,,,,GET  /api/irt/v1/data-transfer-generic/generic-subject-notification/queries/depot-name,GET /api/IRT/v1/data-transfer/GenericSubjectNotification/Queries/DepotName
IRT,v1,Query,data-transfer,GenericSubjectNotification,PILastName,,data-transfer-generic,,,,,,GET  /api/irt/v1/data-transfer-generic/generic-subject-notification/queries/p-i-last-name,GET /api/IRT/v1/data-transfer/GenericSubjectNotification/Queries/PILastName
IRT,v1,Query,data-transfer,GenericSubjectNotification,SiteCountryName,,data-transfer-generic,,,,,,GET  /api/irt/v1/data-transfer-generic/generic-subject-notification/queries/site-country-name,GET /api/IRT/v1/data-transfer/GenericSubjectNotification/Queries/SiteCountryName
IRT,v1,Query,data-transfer,GenericSubjectNotification,SiteName,,data-transfer-generic,,,,,,GET  /api/irt/v1/data-transfer-generic/generic-subject-notification/queries/site-name,GET /api/IRT/v1/data-transfer/GenericSubjectNotification/Queries/SiteName
IRT,v1,Query,data-transfer,ReceivedNotification,CountryName,,data-transfer-generic,,,,,,GET  /api/irt/v1/data-transfer-generic/received-notification/queries/country-name,GET /api/IRT/v1/data-transfer/ReceivedNotification/Queries/CountryName
IRT,v1,Query,data-transfer,ReceivedNotification,DepotCountryName,,data-transfer-generic,,,,,,GET  /api/irt/v1/data-transfer-generic/received-notification/queries/depot-country-name,GET /api/IRT/v1/data-transfer/ReceivedNotification/Queries/DepotCountryName
IRT,v1,Query,data-transfer,ReceivedNotification,DepotName,,data-transfer-generic,,,,,,GET  /api/irt/v1/data-transfer-generic/received-notification/queries/depot-name,GET /api/IRT/v1/data-transfer/ReceivedNotification/Queries/DepotName
